Mouse;Diet;Age;Illumina;Illumina2;Barcode;File;;
SGRO-1012;AL_DR16M;20;S1;S1;S1;S1_S1_001_PRIMER-S1_R1;;
SGRO-7996;DR lifelong;5;S1;S1;S2;S1_S1_001_PRIMER-S2_R1;;
SGRO-1182;AL lifelong;20;S1;S1;S3;S1_S1_001_PRIMER-S3_R1;;
SGRO-1108;AL lifelong;5;S1;S1;S4;S1_S1_001_PRIMER-S4_R1;;
SGRO-1137;AL lifelong;16;S1;S1;S5;S1_S1_001_PRIMER-S5_R1;;
SGRO-1069;DR lifelong;20;S1;S1;S6;S1_S1_001_PRIMER-S6_R1;;
SGRO-1203;AL lifelong;24;S1;S1;S7;S1_S1_001_PRIMER-S7_R1;;
SGRO-1044;DR lifelong;24;S1;S1;S8;S1_S1_001_PRIMER-S8_R1;;
SGRO-1249;AL_DR16M;24;S1;S1;S9;S1_S1_001_PRIMER-S9_R1;;
SGRO-1238;AL_DR20M;24;S1;S1;S10;S1_S1_001_PRIMER-S10_R1;;
SGRO-1183;AL_DR16M;24;S2;S2;S1;S2_S2_001_PRIMER-S1_R1;;
SGRO-0925;AL_DR16M;20;S2;S2;S2;S2_S2_001_PRIMER-S2_R1;;
SGRO-1297;AL_DR20M;24;S2;S2;S3;S2_S2_001_PRIMER-S3_R1;;
SGRO-0984;DR lifelong;5;S2;S2;S4;S2_S2_001_PRIMER-S4_R1;;
SGRO-1289;AL lifelong;20;S2;S2;S5;S2_S2_001_PRIMER-S5_R1;;
SGRO-1022;AL lifelong;5;S2;S2;S6;S2_S2_001_PRIMER-S6_R1;;
SGRO-1230;AL lifelong;16;S2;S2;S7;S2_S2_001_PRIMER-S7_R1;;
SGRO-0975;DR lifelong;20;S2;S2;S8;S2_S2_001_PRIMER-S8_R1;;
SGRO-1115;AL lifelong;24;S2;S2;S9;S2_S2_001_PRIMER-S9_R1;;
SGRO-1095;DR lifelong;24;S2;S2;S10;S2_S2_001_PRIMER-S10_R1;;
SGRO-1239;AL lifelong;24;S3;S3;S1;S3_S3_001_PRIMER-S1_R1;;
SGRO-1199;AL_DR20M;24;S3;S3;S2;S3_S3_001_PRIMER-S2_R1;;
SGRO-1251;AL_DR16M;20;S3;S3;S3;S3_S3_001_PRIMER-S3_R1;;
SGRO-1175;DR lifelong;24;S3;S3;S4;S3_S3_001_PRIMER-S4_R1;;
SGRO-1098;AL_DR16M;24;S3;S3;S5;S3_S3_001_PRIMER-S5_R1;;
SGRO-1272;DR lifelong;5;S3;S3;S6;S3_S3_001_PRIMER-S6_R1;;
SGRO-7955;AL lifelong;5;S3;S3;S7;S3_S3_001_PRIMER-S7_R1;;
SGRO-1284;AL lifelong;20;S3;S3;S8;S3_S3_001_PRIMER-S8_R1;;
